gene1,gene2,label
AKT1,RPS6KA1,1
AKT1,RPS6KA4,1
AKT1,RPS6KA5,1
AKT1,RPS6KB1,1
AKT1,RPS6KB2,1
AKT1,SGK2,1
AKT2,RPS6KB1,1
AKT2,SGK2,1
AKT3,RPS6KA4,1
AKT3,RPS6KB1,1
AKT3,SGK2,1
ARF4,ARF5,1
ARPC1A,ARPC1B,1
ARPP19,ENSA,1
ART4,ART5,1
ATP12A,ATP1A3,1
ATP12A,ATP4A,1
ATP1A1,ATP1A3,1
ATP1A1,ATP1A4,1
ATP1A2,ATP1A3,1
ATP1A2,ATP4A,1
ATP1A3,ATP4A,1
ATP2A3,ATP2C2,1
ATP8A1,ATP8A2,1
ATP8A1,ATP8B1,1
ATP8A1,ATP8B3,1
ATP8A2,ATP8B3,1
AURKB,PLK4,1
B3GNT2,B3GNT3,1
B3GNT2,B3GNT4,1
B3GNT2,B3GNT7,1
B3GNT2,B3GNT9,1
BAD,BAX,1
BAD,BCL2L11,1
BAD,BCL2L12,1
BAD,BIK,1
BAD,BMF,1
BAD,BNIP3,1
BAD,BNIP3L,1
BAD,BOK,1
BAP1,UCHL5,1
BAX,BCL2L12,1
BAX,BIK,1
BAX,BNIP3,1
BAX,BNIP3L,1
BAX,BOK,1
BBC3,BCL2L12,1
BCL2L1,BCL2L2,1
BCL2L1,MCL1,1
BCL2L10,BCL2L2,1
BCL2L11,BCL2L12,1
BCL2L11,BNIP3L,1
BCL2L12,BCL2L14,1
BCL2L12,BMF,1
BCL2L12,BNIP3,1
BCL2L12,BNIP3L,1
BCL2L12,HRK,1
BCLAF1,THRAP3,1
BIK,BNIP3L,1
BLK,FRK,1
BLK,HCK,1
BLK,LYN,1
BLK,SRC,1
BLK,SRMS,1
BLK,YES1,1
BMF,BNIP3L,1
BNIP3,BNIP3L,1
BNIP3L,BOK,1
BNIP3L,PMAIP1,1
BRD2,BRD3,1
BTK,CSK,1
CABP1,CALM2,1
CABP1,CALM3,1
CABP2,CALM2,1
CABP4,CALM1,1
CABP4,CALM2,1
CABP4,CALM3,1
CABP5,CALM2,1
CABP5,CALM3,1
CALM1,CALM2,1
CALM1,CALM3,1
CALM2,CALM3,1
CALM2,CALML4,1
CALM2,CALML5,1
CALM2,CALML6,1
CALM2,TNNC2,1
CAMK1,CAMK1D,1
CAMK1,CAMK2G,1
CAMK1D,CAMK1G,1
CAMK1D,CAMK2G,1
CAMK1D,PSKH1,1
CAMK1G,CAMK2G,1
CAMK2B,CAMK2G,1
CAPN1,CAPN12,1
CAPN11,CAPN12,1
CAPN11,CAPN13,1
CAPN11,CAPN2,1
CAPN11,CAPN9,1
CAPN12,CAPN13,1
CAPN12,CAPN14,1
CAPN12,CAPN2,1
CAPN12,CAPN3,1
CAPN12,CAPN8,1
CAPN12,CAPN9,1
CAPN13,CAPN2,1
CAPN13,CAPN8,1
CAPN2,CAPN9,1
CAPN3,CAPN9,1
CARM1,PRMT1,1
CARS,CARS2,1
CCL14,CCL5,1
CCL15-CCL14,CCL5,1
CCL2,CCL8,1
CCL23,CCL5,1
CCND1,CCND3,1
CDC25A,CDC25B,1
CDC25B,CDC25C,1
CDC42,RAC1,1
CDC42BPA,DMPK,1
CDC42BPA,STK38L,1
CDC42BPB,DMPK,1
CDC42BPB,STK38L,1
CDK12,CDK9,1
CDK2,CDK3,1
CDK2,CDK4,1
CDK2,CDK6,1
CDK3,CDK4,1
CDK4,CDK6,1
CDRT1,FBXW10,1
CEACAM1,CEACAM21,1
CEACAM1,CEACAM7,1
CEACAM21,CEACAM3,1
CEACAM21,CEACAM4,1
CEACAM21,CEACAM5,1
CEACAM4,CEACAM7,1
CEACAM5,CEACAM7,1
CEACAM6,CEACAM7,1
CEACAM7,PSG1,1
CEACAM7,PSG11,1
CEACAM7,PSG3,1
CEACAM7,PSG6,1
CES2,CES4A,1
CES2,CES5A,1
CFD,GZMK,1
CFL1,DSTN,1
CHP1,PPP3R2,1
CIB1,CIB4,1
CIB2,CIB4,1
CKS1B,CKS2,1
CLK1,CLK2,1
CORO1B,CORO2B,1
CORO1C,CORO2A,1
CORO1C,CORO2B,1
CORO1C,CORO6,1
CPA1,CPB1,1
CPA3,CPB1,1
CPA4,CPB1,1
CPD,CPXM1,1
CPN1,CPXM1,1
CPNE3,CPNE6,1
CRK,CRKL,1
CSK,FES,1
CSK,ITK,1
CSK,MATK,1
CSNK1G1,CSNK1G3,1
CTSD,NAPSA,1
CTSE,NAPSA,1
CTSE,PGA3,1
CTSF,CTSH,1
DAPK2,DAPK3,1
DAPK2,MYLK,1
DAPK2,MYLK2,1
DCAF4,DCAF4L2,1
DHH,SHH,1
DMPK,STK38,1
DMPK,STK38L,1
DMXL1,DMXL2,1
DNAH10,DNAH2,1
DNAH10,DNAH5,1
DNAH10,DNAH9,1
DNAH11,DNAH9,1
DNM1,DNM1L,1
DNM1,DNM2,1
DPF1,DPF2,1
DPP8,DPP9,1
ECE1,ECEL1,1
ECE2,ECEL1,1
ECEL1,MME,1
ECHDC2,ECHS1,1
EGFR,ERBB2,1
EGFR,ERBB3,1
EML2,EML6,1
ENPEP,NPEPPS,1
ERAP2,TRHDE,1
ERBB2,ERBB3,1
F13A1,TGM1,1
FES,MATK,1
FGR,HCK,1
FGR,SRC,1
FGR,SRMS,1
FRK,HCK,1
FRK,SRC,1
FUBP1,KHSRP,1
FYN,HCK,1
FYN,SRC,1
FYN,SRMS,1
G6PC,G6PC3,1
GALNT12,GALNT14,1
GALNT13,GALNT16,1
GALNT14,GALNT16,1
GALNT14,POC1B-GALNT4,1
GALNT16,GALNT3,1
GALNT16,POC1B-GALNT4,1
GGT1,GGTLC1,1
GGT2,GGTLC1,1
GRAP,GRB2,1
GRK5,GRK7,1
GSPT1,HBS1L,1
GZMH,GZMK,1
GZMK,GZMM,1
HARS,HARS2,1
HCK,LCK,1
HCK,LYN,1
HCK,PTK6,1
HCK,SRC,1
HCK,SRMS,1
HCK,YES1,1
HDAC1,HDAC2,1
HIPK2,HIPK4,1
HIPK3,HIPK4,1
HK1,HK2,1
HK1,HKDC1,1
HK2,HK3,1
HK2,HKDC1,1
HPN,TMPRSS3,1
INPP5F,SACM1L,1
KAT5,KAT7,1
KCNA10,KCNA5,1
KCNA10,KCNC2,1
KCNA10,KCNC3,1
KCNB1,KCNS1,1
KCNB2,KCNG1,1
KCNF1,KCNS1,1
KCNF1,KCNS2,1
KCNG1,KCNS1,1
KCNH1,KCNH4,1
KCNH2,KCNH4,1
KCNH3,KCNH4,1
KCNH4,KCNH5,1
KCNH4,KCNH6,1
KCNH4,KCNH7,1
KCNH4,KCNH8,1
KCNS1,KCNS2,1
KCTD10,KCTD13,1
KCTD2,KCTD5,1
KCTD2,KCTD9,1
KCTD5,KCTD9,1
KDM3A,KDM3B,1
KDM5A,KDM5B,1
KDM6A,KDM6B,1
KLHL12,KLHL20,1
KLHL15,KLHL9,1
KLHL17,KLHL20,1
KLHL17,KLHL28,1
KLHL18,KLHL20,1
KLHL20,KLHL28,1
KLHL20,KLHL3,1
KLHL20,KLHL8,1
KLHL22,KLHL9,1
KLHL28,KLHL8,1
KLHL32,KLHL9,1
KLK11,KLK14,1
KLK11,KLK4,1
KLK12,KLK13,1
KLK12,KLK14,1
KLK12,KLK9,1
KLK13,KLK9,1
KLK14,KLK4,1
KLK14,KLK9,1
KMT2A,KMT2B,1
KMT2C,KMT2D,1
LCK,SRC,1
LDLR,LRP1,1
LPA,MST1,1
LYN,SRC,1
LYN,SRMS,1
MAP2K1,MAP2K2,1
MAP2K1,MAP2K3,1
MAP2K1,MAP2K4,1
MAP2K2,MAP2K5,1
MAP2K3,MAP2K5,1
MAP4K1,MAP4K2,1
MAP4K1,MAP4K3,1
MAP4K1,STK25,1
MAP4K1,STK4,1
MAP4K2,MAP4K3,1
MAP4K2,STK25,1
MAP4K3,STK25,1
MAP4K3,STK4,1
MAPK1,MAPK3,1
MARK1,MARK2,1
MARK1,MARK3,1
MARK2,MARK3,1
MARK2,SIK3,1
MARK3,MARK4,1
MARK3,NIM1K,1
MARK3,SIK3,1
MMP1,MMP2,1
MMP1,MMP24,1
MMP1,MMP9,1
MMP10,MMP15,1
MMP10,MMP16,1
MMP10,MMP2,1
MMP10,MMP24,1
MMP10,MMP9,1
MMP11,MMP2,1
MMP11,MMP9,1
MMP12,MMP9,1
MMP14,MMP16,1
MMP14,MMP2,1
MMP15,MMP16,1
MMP15,MMP25,1
MMP17,MMP25,1
MMP2,MMP25,1
MMP2,MMP8,1
MMP2,MMP9,1
MMP20,MMP9,1
MMP25,MMP8,1
MMP3,MMP9,1
MMP8,MMP9,1
MOGAT1,MOGAT2,1
MPP1,MPP2,1
MPP2,MPP5,1
NAPSA,PGA3,1
NAPSA,PGA4,1
NAPSA,PGA5,1
NAPSA,PGC,1
NAPSA,REN,1
NEDD4,SMURF1,1
NEDD4,SMURF2,1
NEDD4,WWP1,1
NONO,SFPQ,1
PAK2,PAK4,1
PCGF1,PCGF2,1
PCGF1,PCGF6,1
PCGF2,PCGF3,1
PCGF5,PCGF6,1
PFKFB2,PFKFB3,1
PHKG1,PHKG2,1
PLCB1,PLCB2,1
PLCB1,PLCB3,1
PLCB1,PLCB4,1
PLCB2,PLCB4,1
PLCB3,PLCB4,1
PLCB3,PLCD1,1
PLCB4,PLCD4,1
PMPCB,UQCRC1,1
POLR2A,POLR3A,1
PPIB,PPIL2,1
PPIH,PPIL2,1
PPIH,PPWD1,1
PPIL1,PPIL2,1
PPP1R12B,PPP1R27,1
PRKCA,PRKCI,1
PRKCA,PRKCZ,1
PRKCB,PRKCQ,1
PRKCB,PRKCZ,1
PRKCD,PRKCZ,1
PRKCI,PRKCZ,1
PRKCQ,PRKCZ,1
PRSS21,PRSS41,1
PRSS21,TPSG1,1
PRSS22,TPSG1,1
PRSS27,PRSS33,1
PRSS27,PRSS41,1
PRSS27,PRSS8,1
PRSS27,TPSG1,1
PRSS33,PRSS42,1
PRSS33,PRSS8,1
PRSS33,TPSG1,1
PRSS42,PRSS8,1
PRSS42,TPSG1,1
PRSS8,TPSG1,1
PSPC1,SFPQ,1
PTK2,PTK2B,1
PTK6,SRC,1
PTP4A1,PTP4A2,1
PTPRA,PTPRC,1
PTPRA,PTPRD,1
PTPRA,PTPRE,1
PTPRA,PTPRF,1
PTPRA,PTPRK,1
PTPRA,PTPRT,1
RAC1,RHOG,1
RAC1,RHOJ,1
RAC1,RHOQ,1
RAC1,RHOV,1
RNF20,RNF40,1
RNF38,RNF44,1
RPL36A,RPL36AL,1
RPS6KA1,RPS6KA4,1
RPS6KA1,RPS6KB1,1
RPS6KA1,SGK2,1
RPS6KA2,RPS6KA4,1
RPS6KA2,RPS6KB1,1
RPS6KA2,SGK2,1
RPS6KA3,RPS6KB1,1
RPS6KA3,SGK2,1
RPS6KA4,RPS6KA5,1
RPS6KA4,RPS6KB1,1
RPS6KA4,RPS6KB2,1
RPS6KA4,SGK2,1
RPS6KA5,RPS6KB1,1
RPS6KA5,SGK2,1
RPS6KB1,RPS6KB2,1
RPS6KB1,SGK1,1
RPS6KB1,SGK2,1
RPS6KB1,SGK3,1
RPS6KB2,SGK2,1
SCAMP1,SCAMP3,1
SCAMP2,SCAMP3,1
SCAMP3,SCAMP4,1
SCAMP3,SCAMP5,1
SEMA4B,SEMA4C,1
SEMA4B,SEMA4D,1
SEMA4B,SEMA4G,1
SEMA4C,SEMA4D,1
SEMA4D,SEMA4G,1
SEMA6A,SEMA6B,1
SENP1,SENP2,1
SEPHS1,SEPHS2,1
SGK2,SGK3,1
SIRT2,SIRT3,1
SMURF1,SMURF2,1
SPHK1,SPHK2,1
SPOP,SPOPL,1
SRC,SRMS,1
SRC,YES1,1
SRMS,YES1,1
SSH1,SSH2,1
SSH1,SSH3,1
SSH2,SSH3,1
STK10,STK25,1
STK25,STK4,1
STT3A,STT3B,1
SULT1A1,SULT1A3,1
SULT1A1,SULT1A4,1
SULT1A2,SULT1A3,1
SULT1A2,SULT1A4,1
SULT1A3,SULT1A4,1
SULT1A3,SULT1B1,1
SULT1A3,SULT1C2,1
SULT1A3,SULT1C3,1
SULT1A3,SULT1C4,1
SULT1A3,SULT1E1,1
SULT1A3,SULT2A1,1
SULT1A3,SULT2B1,1
SULT1A4,SULT1C4,1
SULT1A4,SULT2A1,1
SULT1C2,SULT2A1,1
TARS,TARS2,1
TARS,TARSL2,1
TGM1,TGM3,1
TGM1,TGM6,1
TGM1,TGM7,1
TGM3,TGM7,1
TGM6,TGM7,1
TLK1,TLK2,1
TPTE,TPTE2,1
TRAF2,TRAF3,1
TUBB,TUBB4B,1
TUBB,TUBE1,1
UBE2A,UBE2B,1
UBE2Q1,UBE2Q2,1
ULK1,ULK3,1
ULK2,ULK3,1
YWHAE,YWHAZ,1
AGAP9,BPIFB6,1
EIF6,GSX2,1
MEP1A,TUBGCP2,1
POLR1C,TRPC7,1
MAP2K2,WEE1,1
BRCA2,MAP2K2,1
MAP2K1,MAP2K2,1
BRCA1,UBC,1
AKT1,BRCA1,1
BRCA1,WEE1,1
BRCA1,BRCA2,1
BRCA1,PARP1,1
BCL2L1,BRCA1,1
BRCA1,CHEK1,1
BRCA1,MAPK3,1
AKT2,BRCA1,1
BRCA1,MCL1,1
BRCA1,MAP2K1,1
BCL2L2,BRCA1,1
BRCA1,MAPK1,1
HSP90AA1,PARP2,1
AKT1,PARP2,1
PARP2,WEE1,1
BRCA2,PARP2,1
PARP1,PARP2,1
CHEK1,PARP2,1
AKT2,PARP2,1
MAP2K1,PARP2,1
BCL2L2,PARP2,1
AKT3,PARP2,1
BRCA2,HSP90AA1,1
AKT1,BRCA2,1
BRCA2,IMPDH1,1
BCL2,BRCA2,1
BRCA2,WEE1,1
BRCA2,PARP1,1
BCL2L1,BRCA2,1
BRCA2,CHEK1,1
BRCA2,MAPK3,1
AKT2,BRCA2,1
BRCA2,MCL1,1
BRCA2,MAP2K1,1
BCL2L10,BRCA2,1
BCL2L2,BRCA2,1
AKT3,BRCA2,1
BCL2A1,BRCA2,1
BRCA2,MAPK1,1
CHEK1,UBC,1
CHEK1,HSP90AA1,1
AKT1,CHEK1,1
CHEK1,IMPDH1,1
CHEK1,WEE1,1
CHEK1,PARP1,1
BCL2L1,CHEK1,1
CHEK1,MAPK3,1
AKT2,CHEK1,1
CHEK1,MCL1,1
CHEK1,MAP2K1,1
BCL2L2,CHEK1,1
CHEK1,MAPK1,1
AKT2,HSP90AA1,1
AKT1,AKT2,1
AKT2,WEE1,1
AKT2,PARP1,1
AKT2,BCL2L1,1
AKT2,MAPK3,1
AKT2,MCL1,1
AKT2,MAP2K1,1
AKT2,BCL2L10,1
AKT2,BCL2L2,1
AKT2,AKT3,1
AKT2,MAPK1,1
BCL2L2,HSP90AA1,1
AKT1,BCL2L2,1
BCL2L2,WEE1,1
BCL2L2,PARP1,1
BCL2L1,BCL2L2,1
BCL2L2,MAPK3,1
BCL2L2,MCL1,1
BCL2L2,MAP2K1,1
AKT3,BCL2L2,1
BCL2L2,MAPK1,1
HSP90AA1,WEE1,1
HSP90AA1,PARP1,1
BCL2L1,HSP90AA1,1
HSP90AA1,MAPK3,1
HSP90AA1,MAP2K1,1
HSP90AA1,MAPK1,1
PARP1,UBC,1
AKT1,PARP1,1
PARP1,WEE1,1
BCL2L1,PARP1,1
MAPK3,PARP1,1
MCL1,PARP1,1
MAP2K1,PARP1,1
BCL2A1,PARP1,1
MAPK1,PARP1,1
MCL1,WEE1,1
BCL2L1,MCL1,1
MAPK3,MCL1,1
MAP2K1,MCL1,1
AKT3,MCL1,1
MAPK1,MCL1,1
AKT1,MAPK3,1
MAPK3,WEE1,1
MAP2K1,MAPK3,1
MAPK1,MAPK3,1
MAPK1,WEE1,1
BCL2L1,MAPK1,1
MAP2K1,MAPK1,1
BCL2L10,MAPK1,1
AKT3,WEE1,1
AKT3,BCL2L1,1
AKT1,BCL2L1,1
BCL2L1,WEE1,1
BCL2L1,MAP2K1,1
MAP2K1,UBC,1
AKT1,MAP2K1,1
MAP2K1,WEE1,1
AKT1,WEE1,1
AKT1,UBC,1
ACSM2A,ACSM3,1
ADAM33,ADAM9,1
AKT1,RPS6KB1,1
AKT2,RPS6KB1,1
ARF4,ARF5,1
ATP1A2,ATP1A3,1
ATP1A2,ATP4A,1
ATP1A3,ATP4A,1
BCL2L1,MCL1,1
BLK,HCK,1
BLK,SRC,1
BLK,SRMS,1
CABP4,CALM2,1
CABP4,CALM3,1
CABP5,CALM2,1
CABP5,CALM3,1
CALM2,CALM3,1
CAPN11,CAPN12,1
CAPN12,CAPN2,1
CAPN12,CAPN9,1
CAPN2,CAPN9,1
CCL14,CCL5,1
CCND1,CCND3,1
CDC25A,CDC25B,1
CDC42,RAC1,1
CDK4,CDK6,1
CDRT1,FBXW10,1
CEACAM1,CEACAM21,1
CEACAM21,CEACAM5,1
CEACAM7,PSG3,1
CEACAM7,PSG6,1
CRK,CRKL,1
CSK,ITK,1
DAPK2,MYLK2,1
EGFR,ERBB2,1
EGFR,ERBB3,1
ERBB2,ERBB3,1
GGT1,GGTLC1,1
GGT2,GGTLC1,1
HARS,HARS2,1
HCK,SRC,1
HCK,SRMS,1
HDAC1,HDAC2,1
KCNH1,KCNH4,1
KCNH2,KCNH4,1
KCNH3,KCNH4,1
KCNH4,KCNH5,1
KCNH4,KCNH6,1
KCNH4,KCNH8,1
KCTD2,KCTD9,1
KCTD5,KCTD9,1
MAP2K1,MAP2K2,1
MAP2K2,MAP2K5,1
MAP4K1,MAP4K3,1
MARK2,MARK3,1
MARK3,SIK3,1
NAPSA,PGA3,1
NONO,SFPQ,1
PMPCB,UQCRC1,1
POLR2A,POLR3A,1
PPIH,PPIL2,1
PSPC1,SFPQ,1
PTK2,PTK2B,1
RAC1,RHOG,1
RAC1,RHOQ,1
RNF20,RNF40,1
RPL36A,RPL36AL,1
RPS6KB1,SGK2,1
SCAMP2,SCAMP3,1
SENP1,SENP2,1
SRC,SRMS,1
SRC,YES1,1
STT3A,STT3B,1
SULT1A3,SULT1A4,1
TARS,TARS2,1
TGM1,TGM3,1
TPTE,TPTE2,1
TRAF2,TRAF3,1
TUBB,TUBB4B,1
UBE2A,UBE2B,1
AARS,CDX4,1
ABR,BMP15,1
ACAP2,GABRA1,1
ACTG1,DSPP,1
ACVR2B,BMP15,1
ADH7,ANXA11,1
ADH7,CISD1,1
ADH7,FNIP2,1
ADH7,LAS1L,1
ADH7,SERINC3,1
ADH7,SLC12A6,1
AGAP1,TSSK1B,1
AGAP9,BPIFB6,1
ANKRD13D,SLC13A1,1
ANXA11,PPP3R2,1
ANXA7,KLK12,1
AP3S2,SLC36A3,1
APOBEC1,MAP3K2,1
APOBEC1,MRFAP1L1,1
APOBEC1,RANBP10,1
ATAD2,PNPLA5,1
ATAD3A,F13B,1
BCR,GABRA1,1
BICD2,UBQLN3,1
BMP15,PLCD4,1
BPIFB6,ORAOV1,1
BPIFB6,ZNF587B,1
BRWD1,GABRA1,1
BTN2A2,OPN5,1
BTN3A1,SLC13A1,1
C8B,CPEB4,1
C8B,DUSP16,1
C8B,ZDHHC7,1
CCNG1,DGAT2L6,1
CCNG1,GABRA1,1
CLDN17,CRTAP,1
CLDN17,MARK3,1
CLRN1,HIST4H4,1
CLRN1,MAP2K2,1
CLSTN1,PLA2G2F,1
CNNM2,DGAT2L6,1
CORO1C,KCNK10,1
CPSF3,SERPINA7,1
CSNK1G2,TKTL2,1
CST9,EZR,1
CST9,FN3K,1
CST9,KCTD2,1
CST9,KLHL20,1
CST9,MKNK1,1
CST9,NUCB1,1
CST9,PPP2CB,1
CST9,R3HDM2,1
CST9,SMAD2,1
CST9,ZKSCAN2,1
CST9,ZNF286B,1
CUL9,PDILT,1
CXorf66,GIT2,1
CXorf66,PLEKHF2,1
DGAT2L6,PKN1,1
DGAT2L6,RNF185,1
DGAT2L6,RSBN1L,1
DGAT2L6,TST,1
DGAT2L6,UBALD1,1
DNMT3A,KLK12,1
DSPP,SNX5,1
DSPP,TONSL,1
ECD,FMR1NB,1
EIF6,GSX2,1
ENTPD7,HTR5A,1
EPN1,PRSS37,1
ERCC2,PNPLA5,1
EZH1,F13B,1
FGFR1OP2,PNPLA5,1
FMR1NB,FN3K,1
FMR1NB,NIPSNAP1,1
FMR1NB,PHTF1,1
FMR1NB,SGTA,1
FNIP1,RAX,1
GABRA1,GNA13,1
GABRA1,JAK1,1
GABRA1,SBF2,1
GABRA1,UCK1,1
GANAB,KLK12,1
GFOD1,UBQLN3,1
GFRAL,WDFY2,1
GFRAL,ZSWIM4,1
GLB1L,GPX6,1
GLRA2,STK38,1
GNPDA1,MEP1A,1
GPR108,KCNK10,1
GPR50,SAP30,1
GSX2,RFX2,1
HERC4,HTR5A,1
HTR5A,RAB40B,1
HTR5A,STK17B,1
JOSD2,KCNK10,1
KCNK10,PCMTD1,1
KCNK10,SLC25A25,1
KCNK10,TRIP10,1
KLK12,MFSD14B,1
KLK12,TMEM14B,1
KLK12,TMEM50B,1
KLK12,TTC30A,1
KLK12,ZNF136,1
LIN7C,RNF17,1
LMBR1,SLC13A1,1
LSM14A,PDILT,1
MAFG,MAFK,1
MEP1A,NOL6,1
MEP1A,TUBGCP2,1
MEX3B,PLA2G2F,1
MKNK2,RNF17,1
NDST4,TMEM14C,1
NF2,PPP3R2,1
NIPSNAP2,PPP3R2,1
NKIRAS2,SLC13A1,1
NME1,OPN5,1
NR1D2,UBQLN3,1
NT5DC2,SLC13A1,1
OAZ1,SLC13A1,1
OPN5,THOP1,1
OPN5,TMEM87B,1
OPN5,ZNF611,1
OSBPL7,RNF17,1
PDILT,TMED3,1
PDILT,TRAK1,1
PKN2,SLC36A3,1
PKN3,SERPINB12,1
PLA2G2F,TSPAN17,1
PNPLA5,SNX1,1
POLR1C,TRPC7,1
PPM1A,TSSK1B,1
PPP3CA,SERPINB12,1
PPP3CC,RNF17,1
PRSS37,RAB40B,1
R3HDM2,TSSK1B,1
RABL2A,RAX,1
RAX,SLC25A25,1
RIC8A,TRPC7,1
RNF17,SFXN1,1
ROCK1,SLC13A1,1
RXFP3,SLC25A25,1
RXFP3,ZNF181,1
SERINC3,SLC13A1,1
SLC13A1,TTC30A,1
SLC36A1,TSSK1B,1
SLC36A3,TBC1D17,1
SPEM1,USP15,1
SPEM1,YIPF2,1
SPEM1,ZNF524,1
TMEM14C,UBQLN3,1
TPH2,ZSCAN21,1
UBQLN3,ZKSCAN3,1
BCL2L1,CHEK1,1
CHEK1,WEE1,1
BRCA2,CHEK1,1
BRCA1,BRCA2,1
BRCA2,WEE1,1
PARP1,WEE1,1
BCL2L1,MCL1,1
MAPK1,MAPK3,1
BCL2L1,BRCA2,1
MAP2K1,PARP1,1
BRCA2,PARP1,1
BRCA1,CHEK1,1
CHEK1,PARP1,1
BCL2L1,PARP1,1
AKT2,WEE1,1
BCL2L1,WEE1,1
BRCA1,WEE1,1
AKT2,BRCA2,1
AKT2,PARP1,1
MARK2,MARK3,1
CDC42,RAC1,1
UBE2A,UBE2B,1
CALM2,CALM3,1
EGFR,ERBB2,1
HCK,SRC,1
SRC,YES1,1
TRAF2,TRAF3,1
CABP5,CALM2,1
AKT2,RPS6KB1,1
TARS,TARS2,1
RNF20,RNF40,1
SULT1A3,SULT1A4,1
CDRT1,FBXW10,1
CDK4,CDK6,1
RPL36A,RPL36AL,1
NAPSA,PGA3,1
PMPCB,UQCRC1,1
EGFR,ERBB3,1
ATP1A3,ATP4A,1
ERBB2,ERBB3,1
CDC25A,CDC25B,1
ATP1A2,ATP4A,1
KCNH4,KCNH5,1
ATP1A2,ATP1A3,1
CABP4,CALM2,1
CAPN12,CAPN2,1
PTK2,PTK2B,1
RPS6KB1,SGK2,1
STT3A,STT3B,1
ADAM33,ADAM9,1
BCL2L1,MCL1,1
TPTE,TPTE2,1
KCNH1,KCNH4,1
KCNH4,KCNH8,1
TUBB,TUBB4B,1
BLK,HCK,1
CEACAM7,PSG3,1
MAP2K1,MAP2K2,1
RAC1,RHOQ,1
BLK,SRC,1
SCAMP2,SCAMP3,1
PSPC1,SFPQ,1
CEACAM21,CEACAM5,1
CEACAM1,CEACAM21,1
CCND1,CCND3,1
HCK,SRMS,1
SRC,SRMS,1
DAPK2,MYLK2,1
CAPN12,CAPN9,1
CAPN11,CAPN12,1
AKT1,RPS6KB1,1
HARS,HARS2,1
GGT2,GGTLC1,1
ACSM2A,ACSM3,1
KCNH3,KCNH4,1
CEACAM7,PSG6,1
GGT1,GGTLC1,1
CRK,CRKL,1
