gene1,gene2,label
GSX2,LMNB2,1
ASAP2,CST9,1
GSX2,ULK2,1
GABRA1,SRSF2,1
CXorf66,PRPSAP2,1
JRKL,UBQLN3,1
GLRA2,NACC2,1
UBQLN3,USP33,1
ADH7,HDAC4,1
NDST4,ZMIZ1,1
CLRN1,RCBTB1,1
SEC24A,SEC24B,1
HTR5A,VAMP2,1
GABRA1,USP33,1
PANK3,TSSK1B,1
BRCA1,FMR1NB,1
GPR50,OSBPL7,1
CLRN1,DNAJB14,1
KLK12,RIC8B,1
ADH7,ARID1A,1
RNF17,TOB1,1
PRSS37,TMEM170B,1
GON4L,SERPINA7,1
LIN7B,PDILT,1
MEP1A,USP25,1
BPIFB6,HERC3,1
AGAP1,TSSK1B,1
GSX2,KCTD2,1
ABHD5,FMR1NB,1
GPR50,SLC36A1,1
CCNG1,GABRA1,1
BICD1,RNF17,1
CPEB2,CST9,1
CLRN1,SBF1,1
MEF2D,UBQLN3,1
CLDN17,FAM160B1,1
TPH2,ZSCAN21,1
MAP2K2,UBC,0
HSP90AA1,MAP2K2,0
AKT1,MAP2K2,0
IMPDH1,MAP2K2,0
BCL2,MAP2K2,0
BRCA2,MAP2K2,0
MAP2K2,PARP1,0
CHEK1,MAP2K2,0
MAP2K2,MTOR,0
AKT2,MAP2K2,0
MAP2K2,PARP2,0
MAP2K2,MCL1,0
MAP2K2,UBB,0
BCL2L10,MAP2K2,0
BCL2L2,MAP2K2,0
AKT3,MAP2K2,0
BCL2A1,MAP2K2,0
MAP2K2,MAPK1,0
HSP90AA1,PARP2,0
IMPDH1,PARP2,0
BCL2,PARP2,0
BRCA2,PARP2,0
PARP1,PARP2,0
CHEK1,PARP2,0
MTOR,PARP2,0
MCL1,PARP2,0
MAP2K1,PARP2,0
AKT3,PARP2,0
MAPK1,PARP2,0
AKT1,BRCA2,0
BCL2,BRCA2,0
AKT3,BRCA2,0
CHEK1,HSP90AA1,0
CHEK1,CHEK2,0
AKT1,CHEK1,0
CHEK1,IMPDH1,0
BCL2,CHEK1,0
CHEK1,PARP1,0
CHEK1,MAPK3,0
CHEK1,MCL1,0
CHEK1,UBB,0
BCL2L10,CHEK1,0
BCL2L2,CHEK1,0
AKT3,CHEK1,0
BCL2A1,CHEK1,0
BCL2L2,HSP90AA1,0
BCL2,BCL2L2,0
BCL2L2,MCL1,0
BCL2L2,MAP2K1,0
AKT3,BCL2L2,0
BCL2L2,MAPK1,0
AKT1,HSP90AA1,0
HSP90AA1,IMPDH1,0
BCL2,HSP90AA1,0
AKT3,HSP90AA1,0
AKT1,PARP1,0
BCL2,PARP1,0
PARP1,UBB,0
BCL2L10,PARP1,0
AKT3,PARP1,0
AKT1,MCL1,0
IMPDH1,MCL1,0
BCL2,MCL1,0
MCL1,UBB,0
AKT3,MCL1,0
BCL2A1,MCL1,0
BCL2,CHEK2,0
IMPDH1,MAP2K1,0
AKT3,IMPDH1,0
AKT1,MAPK1,0
MAPK1,UBB,0
AKT3,MAPK1,0
AKT3,UBC,0
AKT1,AKT3,0
AKT3,BCL2,0
AKT3,WEE1,0
AKT3,MTOR,0
AKT3,MAP2K1,0
AKT3,UBB,0
AKT3,BCL2L10,0
AKT3,BCL2A1,0
BCL2,UBB,0
MTOR,UBB,0
AKT1,MTOR,0
BCL2,MTOR,0
BCL2L10,MTOR,0
BCL2A1,MTOR,0
AKT1,MAP2K1,0
BCL2L10,MAP2K1,0
BCL2A1,MAP2K1,0
BCL2A1,WEE1,0
AKT1,BCL2,0
ABHD16A,GPX6,0
ABHD16A,GSX2,0
ABHD4,BMP15,0
ABHD4,PLA2G2F,0
ABL1,ABL2,0
ABL1,ADH7,0
ABL1,RXFP3,0
ABL1,SLC36A3,0
ABR,APOBEC1,0
ABR,BCR,0
ABR,GPR50,0
ACAP2,ACAP3,0
ACAP2,SERPINB12,0
ACTG1,PLA2G2F,0
ACTG1,SERPINA7,0
ACTR1B,GLRA2,0
ACVR2A,TKTL2,0
ACVR2B,NDST4,0
ADH7,ANXA11,0
ADH7,BTN3A1,0
ADH7,CBX3,0
ADH7,CISD1,0
ADH7,CRY2,0
ADH7,FNDC3B,0
ADH7,GANAB,0
ADH7,GIGYF2,0
ADH7,HNRNPF,0
ADH7,KAT6A,0
ADH7,KLHL20,0
ADH7,LATS1,0
ADH7,P3H4,0
ADH7,RANBP9,0
ADH7,RNF24,0
ADH7,SERINC3,0
ADH7,SLC41A2,0
ADH7,SPOPL,0
ADH7,STK38,0
ADH7,TMEM170A,0
ADH7,TNKS2,0
ADH7,TRIM34,0
ADH7,UBAP2,0
ADH7,UBP1,0
ADH7,ZKSCAN8,0
ADH7,ZMIZ1,0
ADH7,ZNF581,0
AGAP1,AGAP3,0
AGAP1,CDX4,0
AGAP1,KLK12,0
AGAP1,RAX,0
AGAP1,TKTL2,0
AGAP1,TRPC7,0
AGAP3,BMP15,0
AGAP9,SLC36A3,0
AKT1,F13B,0
AKT1,HTR5A,0
AKT1,SLC36A3,0
AKT2,MEP1A,0
AKT2,SLC13A1,0
ALG10B,RD3,0
ALG10B,TPH2,0
ALG10,APOBEC1,0
ANKRA2,KCNK10,0
ANKRA2,SLC36A3,0
ANKRD13A,C8B,0
ANKRD13A,GPR50,0
ANKRD13D,BMP15,0
ANXA11,ANXA7,0
ANXA11,PPP3R2,0
ANXA11,TRPC7,0
AP2A1,RAX,0
AP2A2,CLRN1,0
AP2A2,GPX6,0
AP2A2,KCNK10,0
AP3M1,KCNK10,0
AP3M1,TKTL2,0
AP3M2,DSPP,0
AP3M2,OPN5,0
AP3S1,SPEM1,0
AP3S1,TPH2,0
AP3S2,APOBEC1,0
APOBEC1,ARPC1A,0
APOBEC1,CCNG2,0
APOBEC1,DPF2,0
APOBEC1,G3BP2,0
APOBEC1,GRK3,0
APOBEC1,LMAN2L,0
APOBEC1,LPIN1,0
APOBEC1,MAP3K2,0
APOBEC1,MAPKAPK3,0
APOBEC1,MFAP3L,0
APOBEC1,MRFAP1L1,0
APOBEC1,NUCB2,0
APOBEC1,ORMDL1,0
APOBEC1,PACSIN3,0
APOBEC1,PBX3,0
APOBEC1,PHLPP2,0
APOBEC1,PSEN2,0
APOBEC1,PYCR2,0
APOBEC1,RANBP10,0
APOBEC1,RHOC,0
APOBEC1,RPS5,0
APOBEC1,RSBN1,0
APOBEC1,SFXN1,0
APOBEC1,SIPA1L1,0
APOBEC1,SMAP1,0
APOBEC1,STX7,0
APOBEC1,ZFAND2B,0
APOBEC1,ZNF133,0
APOBEC1,ZNF773,0
APPL1,DGAT2L6,0
APPL1,KLK12,0
ARFGEF1,GSX2,0
ARFGEF1,PNPLA5,0
ARFGEF1,RAX,0
ARFGEF2,BPIFB6,0
ARFGEF2,DSPP,0
ARFGEF2,SPEM1,0
ARFIP2,GABRA1,0
ARFIP2,PDILT,0
ARHGEF3,DSPP,0
ARHGEF3,NET1,0
ARHGEF3,OPN5,0
ARID1A,UBQLN3,0
ARID1B,CLDN17,0
ARID1B,GLRA2,0
ARID1B,SERPINB12,0
ARL8A,PRSS37,0
ARL8B,GPR50,0
ARL8B,PDILT,0
ARL8B,PPP3R2,0
ARPC1A,SLC13A1,0
ARPC1B,MEP1A,0
ARPC1B,PNPLA5,0
ARPC1B,TRPC7,0
ARPC5L,SPEM1,0
ARPC5,C8B,0
ARPC5,HTR5A,0
ARPP19,KCNK10,0
ARPP19,SERPINB12,0
ASAP2,SLC13A1,0
ASAP2,SPEM1,0
ASIC1,C8B,0
ATAD2B,GPR50,0
ATAD2B,RNF17,0
ATAD2B,TPH2,0
ATAD2,BMP15,0
ATAD2,PNPLA5,0
ATAD3A,BPIFB6,0
ATAD3A,MEP1A,0
ATAD3B,OPN5,0
ATF1,CREM,0
ATF1,SLC36A3,0
ATF1,UBQLN3,0
ATF2,TKTL2,0
B4GALT1,B4GALT2,0
B4GALT1,RXFP3,0
B4GALT1,TPH2,0
B4GALT2,PPP3R2,0
BCL2L1,NDST4,0
BCL2L1,RXFP3,0
BCL2L1,TRPC7,0
BCR,PRSS37,0
BICD1,BICD2,0
BICD1,CLRN1,0
BICD1,RS1,0
BICD2,HTR5A,0
BICD2,UBQLN3,0
BMP15,BTN3A1,0
BMP15,CCNG2,0
BMP15,COPS7A,0
BMP15,COQ8B,0
BMP15,DCUN1D1,0
BMP15,DHX8,0
BMP15,GIGYF1,0
BMP15,GNA13,0
BMP15,KLC1,0
BMP15,ORMDL1,0
BMP15,PBX3,0
BMP15,PIP5K1C,0
BMP15,PPP2CB,0
BMP15,RAPGEF2,0
BMP15,ROCK1,0
BMP15,TESK2,0
BMP15,TMEM50A,0
BMP15,VDAC3,0
BMP15,ZNF354A,0
BMP15,ZNF764,0
BPIFB6,BTBD2,0
BPIFB6,BTN3A3,0
BPIFB6,CAPZA2,0
BPIFB6,DHRS4,0
BPIFB6,DHRS4L2,0
BPIFB6,DNAJA1,0
BPIFB6,DYRK3,0
BPIFB6,GPR107,0
BPIFB6,KCTD5,0
BPIFB6,KIF3B,0
BPIFB6,LMNB2,0
BPIFB6,LSM14B,0
BPIFB6,MRFAP1L1,0
BPIFB6,NDFIP2,0
BPIFB6,NR1D1,0
BPIFB6,NR2C1,0
BPIFB6,NR2C2,0
BPIFB6,OSBPL3,0
BPIFB6,PACS1,0
BPIFB6,PYCR1,0
BPIFB6,RAB40C,0
BPIFB6,RAPGEF6,0
BPIFB6,RBM4B,0
BPIFB6,SAP30,0
BPIFB6,SNX1,0
BPIFB6,SRSF5,0
BPIFB6,STX7,0
BPIFB6,SUCLG2,0
BPIFB6,SYNGR2,0
BPIFB6,UCK2,0
BPIFB6,USP33,0
BPIFB6,ZNF181,0
BPIFB6,ZNF286B,0
BPIFB6,ZNF76,0
BRCA1,CST9,0
BRCA1,NDST4,0
BRWD1,PHIP,0
BRWD1,PPP3R2,0
BTBD1,RXFP3,0
BTBD1,SERPINB12,0
BTBD2,PDILT,0
BTN2A1,PPP3R2,0
BTN3A1,BTN3A3,0
BTN3A3,RD3,0
C3orf30,CDH3,0
C3orf30,CHKA,0
C3orf30,CYTH1,0
C3orf30,CYTH3,0
C3orf30,DDHD2,0
C3orf30,FNDC3A,0
C3orf30,GGA1,0
C3orf30,GIGYF2,0
C3orf30,GIT2,0
C3orf30,GOT1,0
C3orf30,GRK3,0
C3orf30,IMP3,0
C3orf30,ITSN2,0
C3orf30,L3MBTL2,0
C3orf30,LRBA,0
C3orf30,MBD2,0
C3orf30,NOTCH2,0
C3orf30,NT5DC2,0
C3orf30,PABPC4,0
C3orf30,PAFAH1B2,0
C3orf30,PHTF1,0
C3orf30,PITPNM1,0
C3orf30,PPM1B,0
C3orf30,RAD23B,0
C3orf30,RBL2,0
C3orf30,RFX2,0
C3orf30,RNF38,0
C3orf30,SCAMP3,0
C3orf30,SEC24B,0
C3orf30,SLC12A4,0
C3orf30,SNTB2,0
C3orf30,TESK1,0
C3orf30,TFCP2,0
C3orf30,TOR1A,0
C3orf30,TUBGCP2,0
C3orf30,ZSWIM4,0
C8B,CPEB4,0
C8B,CYTH3,0
C8B,FAM117B,0
C8B,FNBP1L,0
C8B,HIST4H4,0
C8B,IP6K2,0
C8B,JAK1,0
C8B,KLC1,0
C8B,MARK3,0
C8B,MEX3C,0
C8B,MPP6,0
C8B,PCMTD1,0
C8B,PITPNM2,0
C8B,PKN3,0
C8B,RALGAPA2,0
C8B,RC3H2,0
C8B,RPS6KB2,0
C8B,SLC36A4,0
C8B,SMARCA4,0
C8B,STAM,0
C8B,STAT1,0
C8B,STX12,0
C8B,TMEM39B,0
C8B,UBALD1,0
C8B,YY1AP1,0
CAMKK1,CAMKK2,0
CAMKK1,RS1,0
CAMKK1,RXFP3,0
CAMKK2,CLDN17,0
CAPZA1,DGAT2L6,0
CAPZA1,FMR1NB,0
CAPZA1,TKTL2,0
CAPZA2,PDILT,0
CAPZA2,RD3,0
CBX3,CBX5,0
CBX3,CST9,0
CBX3,HTR5A,0
CBX5,PNPLA5,0
CBX5,TRPC7,0
CCNE1,GABRA1,0
CCNE1,HTR5A,0
CCNE1,RXFP3,0
CCNE2,GPR50,0
CCNE2,KLK12,0
CCNE2,NDST4,0
CCNG1,CCNG2,0
CCNT1,GPR50,0
CCNT1,PNPLA5,0
CCNT2,DSPP,0
CCNT2,PNPLA5,0
CCNY,F13B,0
CCNY,TKTL2,0
CCT7,RAX,0
CCT7,UBQLN3,0
CDC34,F13B,0
CDC34,PPP3R2,0
CDC42BPA,CDC42BPB,0
CDC42BPA,DGAT2L6,0
CDC42BPA,GPX6,0
CDC42BPB,PPP3R2,0
CDH3,GABRA1,0
CDH3,GPX6,0
CDK3,DGAT2L6,0
CDK3,GPX6,0
CDK5,FMR1NB,0
CDX4,CNNM4,0
CDX4,CYTH2,0
CDX4,GRK4,0
CDX4,GSK3B,0
CDX4,JOSD1,0
CDX4,LMBR1,0
CDX4,MFSD14B,0
CDX4,MZT2A,0
CDX4,RIC8A,0
CDX4,STX10,0
CDX4,TRIM34,0
CDX4,ULK2,0
CDX4,WDR20,0
CDX4,ZNF785,0
CHD1,PRSS37,0
CHD1,RNF17,0
CHD1,SERPINB12,0
CHD2,CST9,0
CHD2,HTR5A,0
CHD2,PDILT,0
CHKA,TPH2,0
CHKB,KLK12,0
CHKB,PNPLA5,0
CHKB,RS1,0
CHUK,CLRN1,0
CISD1,PNPLA5,0
CISD1,RXFP3,0
CISD2,RAX,0
CISD2,SLC13A1,0
CISD2,SLC36A3,0
CLDN17,CPEB2,0
CLDN17,DMXL2,0
CLDN17,DUSP16,0
CLDN17,DYNC1LI2,0
CLDN17,FAHD2A,0
CLDN17,KDELR2,0
CLDN17,MARK3,0
CLDN17,MKNK1,0
CLDN17,MPP2,0
CLDN17,MPST,0
CLDN17,MZT2A,0
CLDN17,NAP1L1,0
CLDN17,NUCB1,0
CLDN17,PUM2,0
CLDN17,RALGAPA1,0
CLDN17,SAFB2,0
CLDN17,SEC24A,0
CLDN17,SIPA1L1,0
CLDN17,SMARCA2,0
CLDN17,STAT1,0
CLDN17,TBC1D22B,0
CLDN17,TMEM14C,0
CLDN17,ZDHHC18,0
CLDN17,ZNF143,0
CLRN1,CLSTN1,0
CLRN1,CPNE1,0
CLRN1,DGUOK,0
CLRN1,EVI5,0
CLRN1,FNIP1,0
CLRN1,GANC,0
CLRN1,GOT1,0
CLRN1,HIST4H4,0
CLRN1,KYAT3,0
CLRN1,MAP2K1,0
CLRN1,MAP2K2,0
CLRN1,MAPK8IP3,0
CLRN1,MAPKAPK2,0
CLRN1,METTL2B,0
CLRN1,MTMR4,0
CLRN1,PACSIN3,0
CLRN1,PPP3CB,0
CLRN1,SLC12A4,0
CLRN1,SMARCA4,0
CLRN1,SMURF1,0
CLRN1,STAT3,0
CLRN1,SYNGR2,0
CLRN1,TIGD2,0
CLRN1,ZNF133,0
CLSTN3,F13B,0
CLTA,PRSS37,0
CLTB,TRPC7,0
CLTB,UBQLN3,0
CNNM2,CNNM4,0
CNNM2,DGAT2L6,0
CNNM2,MEP1A,0
CNNM4,KLK12,0
COPS7A,KCNK10,0
COPS7A,PPP3R2,0
COPS7B,DGAT2L6,0
COPS7B,GLRA2,0
COPS7B,KLK12,0
COQ8A,DSPP,0
COQ8A,TPH2,0
COQ8B,SLC13A1,0
CORO1B,DGAT2L6,0
CORO1B,PPP3R2,0
CORO1B,PRSS37,0
CORO1C,GPX6,0
CORO1C,PDILT,0
CPEB2,CPEB4,0
CPEB2,TPH2,0
CPNE1,RNF17,0
CPNE2,OPN5,0
CREB1,F13B,0
CREB1,PRSS37,0
CREM,SPEM1,0
CRTAP,KLK12,0
CRTAP,P3H4,0
CRY1,CRY2,0
CRY1,SLC36A3,0
CSNK1D,FGF4,0
CSNK1D,SPEM1,0
CSNK1E,GLRA2,0
CSNK1E,PRSS37,0
CSNK1G2,OPN5,0
CST9,DCUN1D2,0
CST9,DNAJA1,0
CST9,ERLIN1,0
CST9,GSK3A,0
CST9,HIST2H2BE,0
CST9,LIN7C,0
CST9,MCL1,0
CST9,MEF2D,0
CST9,METTL2B,0
CST9,MYL6B,0
CST9,NF2,0
CST9,OAZ1,0
CST9,PABPC1L,0
CST9,RALGAPA1,0
CST9,RHOC,0
CST9,RNF19A,0
CST9,RNF19B,0
CST9,RNF24,0
CST9,SBF2,0
CST9,SLC12A6,0
CST9,TRAK2,0
CST9,ZDHHC14,0
CST9,ZNF773,0
CST9,ZSCAN30,0
CTDSP1,GSX2,0
CTDSP2,CXorf66,0
CTDSP2,KLK12,0
CUL7,PNPLA5,0
CUL7,UBQLN3,0
CUL9,DGAT2L6,0
CUL9,FMR1NB,0
CXorf66,DDHD2,0
CXorf66,DGCR6L,0
CXorf66,DMXL1,0
CXorf66,FGFR1OP2,0
CXorf66,FN3K,0
CXorf66,HINT2,0
CXorf66,HMG20A,0
CXorf66,JOSD1,0
CXorf66,MAP3K10,0
CXorf66,MAPK8IP3,0
CXorf66,MYL6,0
CXorf66,NT5DC3,0
CXorf66,NUMBL,0
CXorf66,SMURF2,0
CXorf66,TSPAN17,0
CXorf66,UBALD2,0
CXorf66,ZKSCAN2,0
CYB5R1,PRSS37,0
CYB5R1,TPH2,0
CYB5R3,RS1,0
CYTH1,OPN5,0
CYTH2,PLA2G2F,0
DCK,RXFP3,0
DCUN1D2,KLK12,0
DCUN1D4,DSPP,0
DCUN1D4,PRSS37,0
DCUN1D5,KCNK10,0
DGAT2L6,ERLIN1,0
DGAT2L6,FNBP1L,0
DGAT2L6,GNA12,0
DGAT2L6,HINT1,0
DGAT2L6,KLHL17,0
DGAT2L6,PANK3,0
DGAT2L6,PIP5K1A,0
DGAT2L6,SEC23IP,0
DGAT2L6,SFXN1,0
DGAT2L6,SMURF1,0
DGAT2L6,SNTA1,0
DGAT2L6,SNX6,0
DGAT2L6,STK17A,0
DGAT2L6,SYNGR3,0
DGAT2L6,TOB2,0
DGAT2L6,ZNF354B,0
DGAT2L6,ZNF580,0
DGUOK,PPP3R2,0
DGUOK,SERPINB12,0
DHRS4L2,SLC13A1,0
DHRS4L2,UBQLN3,0
DIAPH3,FGF4,0
DIAPH3,TPH2,0
DMWD,SERPINA7,0
DMXL1,RXFP3,0
DMXL2,GSX2,0
DMXL2,TSSK1B,0
DNAJA1,KCNK10,0
DNAJA2,GFRAL,0
DNAJA2,PRSS37,0
DNAJA2,SLC36A3,0
DNAJB14,RXFP3,0
DNMT3A,DNMT3B,0
DNMT3A,TKTL2,0
DNMT3B,OPN5,0
DPAGT1,RAX,0
DPF1,GPX6,0
DPF1,TRPC7,0
DPF2,PPP3R2,0
DPP8,DSPP,0
DPP8,GPX6,0
DPP9,PRSS37,0
DSPP,FNDC3A,0
DSPP,GIT1,0
DSPP,GOLPH3,0
DSPP,GSK3B,0
DSPP,KDELR1,0
DSPP,LAS1L,0
DSPP,LIN7B,0
DSPP,MARK3,0
DSPP,MFAP3L,0
DSPP,NACC1,0
DSPP,NUMB,0
DSPP,PANK1,0
DSPP,PRPSAP2,0
DSPP,SGTB,0
DSPP,SHMT1,0
DSPP,SMARCD2,0
DSPP,SNTB2,0
DSPP,SNX5,0
DSPP,TMEM50A,0
DSPP,TOR1B,0
DSPP,TST,0
DSPP,UNKL,0
DSPP,ZDHHC3,0
DSPP,ZMIZ2,0
DSPP,ZNF561,0
DSPP,ZNF619,0
DUSP16,FMR1NB,0
DUSP8,GFRAL,0
DUSP8,GLRA2,0
DUSP8,TKTL2,0
DYNC1LI1,GFRAL,0
DYNC1LI1,MEP1A,0
DYNC1LI1,TSSK1B,0
DYNC1LI2,PRSS37,0
DYNC1LI2,RS1,0
DYRK3,SLC13A1,0
ECD,OPN5,0
EHD1,PPP3R2,0
EHD4,KLK12,0
EHD4,PRSS37,0
ENSA,GSX2,0
ENSA,RAX,0
ENSA,RD3,0
ENTPD4,ENTPD7,0
ENTPD7,HTR5A,0
ENTPD7,KCNK10,0
EPN1,PRSS37,0
EPN2,GPR50,0
EPN2,HTR5A,0
EPN2,PNPLA5,0
EPS15L1,TPH2,0
EPS15,PDILT,0
EPS15,PNPLA5,0
EPS15,TPH2,0
ERCC2,GPX6,0
ERLIN2,GABRA1,0
EVI5L,GPX6,0
EVI5,SLC13A1,0
EZH1,MEP1A,0
EZH2,GFRAL,0
EZH2,NDST4,0
EZH2,RNF17,0
EZR,TSSK1B,0
F13B,HIST1H4H,0
F13B,ING5,0
F13B,ITSN1,0
F13B,KAT6B,0
F13B,MAPK11,0
F13B,ME3,0
F13B,MKNK2,0
F13B,ORMDL2,0
F13B,PKN1,0
F13B,PNMA1,0
F13B,PPARD,0
F13B,PYCR1,0
F13B,RAB40C,0
F13B,RAD23B,0
F13B,RNF2,0
F13B,SRSF5,0
F13B,ZNF580,0
